exp_author;exp_title;exp_version;exp_start_time;exp_start_timestamp;exp_save_time;exp_finished;exp_aborted;exp_aborted_because;exp_session;exp_condition;exp_id;exp_session_id;exp_plugin_queries;exp_session_timeout;session_status;alfred_version;type;client_device_type;client_resolution_inner;client_browser;client_os_version;client_os_name;client_device_family;client_os_family;client_device_manufacturer;client_javascript_active;client_resolution_screen;client_referrer;MC_OA_1;MC_OA_2;MC_OA_3;MC_OA_4;MC_PA_1;MC_PA_2;MC_PA_3;MC_PA_4;acc_post;acc_pre;additional_data_payout;age;ape_0;ape_1;ape_10;ape_11;ape_12;ape_2;ape_3;ape_4;ape_5;ape_6;ape_7;ape_8;ape_9;comments;consent;course_of_studies;description_trial_1;description_trial_10;description_trial_11;description_trial_12;description_trial_13;description_trial_14;description_trial_15;description_trial_2;description_trial_3;description_trial_4;description_trial_5;description_trial_6;description_trial_7;description_trial_8;description_trial_9;epistemic_motivation1;epistemic_motivation10;epistemic_motivation2;epistemic_motivation3;epistemic_motivation4;epistemic_motivation5;epistemic_motivation6;epistemic_motivation7;epistemic_motivation8;epistemic_motivation9;estimation_1;estimation_10;estimation_11;estimation_12;estimation_13;estimation_14;estimation_15;estimation_2;estimation_3;estimation_4;estimation_5;estimation_6;estimation_7;estimation_8;estimation_9;finalSTAI_S_01;finalSTAI_S_02;finalSTAI_S_03;finalSTAI_S_04;finalSTAI_S_05;finalSTAI_S_06;finalSTAI_S_07;finalSTAI_S_08;finalSTAI_S_09;finalSTAI_S_10;finalSTAI_S_11;finalSTAI_S_12;finalSTAI_S_13;finalSTAI_S_14;finalSTAI_S_15;finalSTAI_S_16;finalSTAI_S_17;finalSTAI_S_18;finalSTAI_S_19;finalSTAI_S_20;fq_srsi;gender;initialSTAI_S_01;initialSTAI_S_02;initialSTAI_S_03;initialSTAI_S_04;initialSTAI_S_05;initialSTAI_S_06;initialSTAI_S_07;initialSTAI_S_08;initialSTAI_S_09;initialSTAI_S_10;initialSTAI_S_11;initialSTAI_S_12;initialSTAI_S_13;initialSTAI_S_14;initialSTAI_S_15;initialSTAI_S_16;initialSTAI_S_17;initialSTAI_S_18;initialSTAI_S_19;initialSTAI_S_20;interview_post;interview_pre;justify;mean_ape;screener_trial1;screener_trial10;screener_trial11;screener_trial12;screener_trial13;screener_trial14;screener_trial15;screener_trial2;screener_trial3;screener_trial4;screener_trial5;screener_trial6;screener_trial7;screener_trial8;screener_trial9;suspicion;suspicion_open;systematic_information_processing1;systematic_information_processing2;systematic_information_processing3;task_trial_1;task_trial_10;task_trial_11;task_trial_12;task_trial_13;task_trial_14;task_trial_15;task_trial_2;task_trial_3;task_trial_4;task_trial_5;task_trial_6;task_trial_7;task_trial_8;task_trial_9;true_value_1;true_value_10;true_value_11;true_value_12;true_value_13;true_value_14;true_value_15;true_value_2;true_value_3;true_value_4;true_value_5;true_value_6;true_value_7;true_value_8;true_value_9
jrollwage;MC Accountability;0.1;;;1641829935.6921885;False;True;quota_error;;;test1234;sid-ba176ba1ff634f7f92bc51ff41d1f050;;86400;;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.1;;;1641829943.1772892;False;True;quota_error;;;test1234;sid-e2c6d72b8f454fdfa2fd60bd03736b6f;;86400;;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.1;;;1641829954.2108865;False;True;quota_error;;;test1234;sid-16147511ef2b41b9beabf2771b2a6509;;86400;;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.11;1641829977.6574266;2022-01-10_16:52:57;1641830071.784727;False;True;error;;control;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;;86400;participant registration;2.3.2b1;exp_data;Desktop;2560x1293;Chrome 97;;Windows 10;Other;Windows 10;;true;2560x1440;;1;1;1;1;1;1;1;1;1;1;;32.0;42.071611253196934;;;;;;;;;;;;;;2;fdsafsadf;mask4_1;mask2_10;mask2_11;mask1_12;mask2_13;mask3_14;mask5_15;mask6_2;mask5_3;mask4_4;mask1_5;mask3_6;mask6_7;mask6_8;mask6_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;0.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;0.0;777.0;0.0;1111.0;444.0;4444.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;42;no_screener;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;;4897;1;1;1;image_1_griechenland;image_10_oesterreich;image_11_aegypten;image_12_kos;image_13_tuerkei;image_14_lanzarote;image_15_thailand;image_2_ibiza;image_3_malediven;image_4_schweden;image_5_vereinigte_arabische_emirate;image_6_kreta;image_7_italien_neapel;image_8_madeira;image_9_fuerteventura;782;530,18;1047;658;560;818,9;1324;736;1345,28;302,36;637,99;1235,25;498;728,53;894
jrollwage;MC Accountability;0.11;1641830541.4775953;2022-01-10_17:02:21;1641830629.4435234;False;True;error;;control;test1234;sid-0fe33018152240cea6cd7e67fc92b35c;;86400;participant registration;2.3.2b1;exp_data;Desktop;2560x1293;Chrome 97;;Windows 10;Other;Windows 10;;true;2560x1440;;1;1;1;1;1;1;1;1;1;1;;32.0;16.08761329305136;;;;;;;;;;;;;;2;fdsafsadf;mask1_1;mask5_10;mask6_11;mask3_12;mask1_13;mask3_14;mask2_15;mask6_2;mask5_3;mask5_4;mask2_5;mask5_6;mask6_7;mask5_8;mask6_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;2334.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;16;no_screener;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;;dfgh;1;1;1;image_1_thailand;image_10_fuerteventura;image_11_oesterreich;image_12_ibiza;image_13_schweden;image_14_kos;image_15_madeira;image_2_griechenland;image_3_aegypten;image_4_lanzarote;image_5_italien_neapel;image_6_malediven;image_7_kreta;image_8_vereinigte_arabische_emirate;image_9_tuerkei;1324;894;530,18;736;302,36;658;728,53;782;1047;818,9;498;1345,28;1235,25;637,99;560
jrollwage;MC Accountability;0.11;1641830828.957462;2022-01-10_17:07:08;1641830913.0967503;False;True;error;;control;test1234;sid-df9c1bf883524179a5603ceb47dcdeee;;86400;participant registration;2.3.2b1;exp_data;Desktop;2560x1293;Chrome 97;;Windows 10;Other;Windows 10;;true;2560x1440;;1;1;1;1;1;1;1;1;1;1;;32.0;68.84498480243161;143.3734939759036;;;;;;;;;;;;;2;fdsafsadf;mask5_1;mask4_10;mask5_11;mask6_12;mask4_13;mask6_14;mask5_15;mask1_2;mask4_3;mask6_4;mask3_5;mask4_6;mask1_7;mask3_8;mask5_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;1111.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;69;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;;dtghcfjkhlj;1;1;1;image_1_kos;image_10_vereinigte_arabische_emirate;image_11_schweden;image_12_ibiza;image_13_madeira;image_14_tuerkei;image_15_aegypten;image_2_italien_neapel;image_3_thailand;image_4_malediven;image_5_griechenland;image_6_oesterreich;image_7_lanzarote;image_8_fuerteventura;image_9_kreta;658;637,99;302,36;736;728,53;560;1047;498;1324;1345,28;782;530,18;818,9;894;1235,25
jrollwage;MC Accountability;0.11;1641830958.5779357;2022-01-10_17:09:18;1641831067.9078777;True;False;;;control;test1234;sid-a10aca6089914f089a614d30f4d5b570;;86400;participant registration;2.3.2b1;exp_data;Desktop;2560x1293;Chrome 97;;Windows 10;Other;Windows 10;;true;2560x1440;;1;1;1;1;1;1;1;1;1;1;;32.0;267.44278343696254;20.714285714285715;35.669800952497255;16.08761329305136;68.84498480243161;10.058692572353776;56.024096385542165;6.112702960840497;11.74496644295302;42.071611253196934;738.2058923384511;217.1195652173913;74.14066051192025;;2;fdsafsadf;mask4_1;mask1_10;mask4_11;mask3_12;mask3_13;mask2_14;mask3_15;mask5_2;mask4_3;mask3_4;mask4_5;mask4_6;mask2_7;mask3_8;mask1_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;2334.0;1111.0;1111.0;1111.0;1111.0;444.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;120;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;;dsfasfsda;1;1;1;image_1_schweden;image_10_malediven;image_11_ibiza;image_12_vereinigte_arabische_emirate;image_13_lanzarote;image_14_thailand;image_15_kos;image_2_tuerkei;image_3_madeira;image_4_kreta;image_5_italien_neapel;image_6_aegypten;image_7_fuerteventura;image_8_griechenland;image_9_oesterreich;302,36;1345,28;736;637,99;818,9;1324;658;560;728,53;1235,25;498;1047;894;782;530,18
jrollwage;MC Accountability;1.1;1642413126.1384487;2022-01-17_10:52:06;1642413219.504977;True;False;;;process_accountability;test1234;sid-bccc0b78ec7641f58e41afeed43926e4;;86400;participant registration;2.3.2b1;exp_data;Desktop;1920x933;Chrome 97;;Windows 10;Other;Windows 10;;true;1920x1080;;2;2;2;2;2;2;2;2;3;2;;32.0;109.5514730846128;84.19452887537993;;;;74.14066051192025;24.272930648769574;267.44278343696254;16.08761329305136;35.669800952497255;52.49886758266648;42.071611253196934;;;2;fdsafsadf;mask6_1;mask3_10;;;;;;mask2_2;mask4_3;mask2_4;mask2_5;mask5_6;mask2_7;mask2_8;mask3_9;2;2;2;2;2;2;2;2;2;2;1111.0;1111.0;;;;;;1212.0;1111.0;1111.0;1111.0;1111.0;1111.0;1111.0;1111.0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;78;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;gfdssg;;2;2;2;image_1_oesterreich;image_10_griechenland;;;;;;image_2_kos;image_3_vereinigte_arabische_emirate;image_4_fuerteventura;image_5_schweden;image_6_thailand;image_7_malediven;image_8_lanzarote;image_9_madeira;530,18;782;;;;;;658;637,99;894;302,36;1324;1345,28;818,9;728,53
jrollwage;MC Accountability;1.1;1642416459.0940125;2022-01-17_11:47:39;1642416577.8925812;True;False;;;process_accountability;test1234;sid-bc2df37cae034517902d99d101fdb44c;;86400;participant registration;2.3.2b1;exp_data;Desktop;1920x933;Chrome 97;;Windows 10;Other;Windows 10;;true;1920x1080;;3;3;3;3;3;3;3;3;3;2;;32.0;45.74944071588367;45.780925631945294;;;;17.41496194100856;14.83375959079284;42.876041804471484;32.287339926958104;39.055358049771456;34.34650455927052;235.64954682779455;;;2;fdsafsadf;mask4_1;mask5_10;;;;;;mask2_2;mask6_3;mask5_4;mask5_5;mask5_6;mask5_7;mask5_8;mask5_9;2;2;2;2;2;2;2;2;2;2;485.0;4444.0;;;;;;444.0;1111.0;666.0;432.0;432.0;432.0;444.0;432.0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;56;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;fdsff;;2;2;2;image_1_fuerteventura;image_10_thailand;;;;;;image_2_lanzarote;image_3_malediven;image_4_griechenland;image_5_schweden;image_6_vereinigte_arabische_emirate;image_7_oesterreich;image_8_madeira;image_9_kos;894;1324;;;;;;818,9;1345,28;782;302,36;637,99;530,18;728,53;658
jrollwage;Acc_MC_lab_test;1.0;1653377978.8771954;2022-05-24_09:39:38;1653378148.4045477;True;False;;;control;test12345678;sid-4c6ea74093ba4353873d14f87f757853;;86400;participant registration;2.3.2;exp_data;Desktop;1920x933;Chrome 101;;Windows 10;Other;Windows 10;;true;1920x1080;;2;2;2;2;2;2;2;2;7;1;;32.0;34.34650455927052;67.37160120845923;;;;40.70251053491277;44.75703324808184;51.67785234899329;47.24630602027109;32.287339926958104;42.876041804471484;67.88772597526166;;fds;2;fdsa;mask1_1;mask6_10;;;;;;mask5_2;mask2_3;mask5_4;mask3_5;mask6_6;mask3_7;mask2_8;mask3_9;2;2;2;2;2;2;2;2;2;2;432.0;432.0;;;;;;432.0;432.0;432.0;432.0;432.0;432.0;432.0;432.0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;männlich;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;2;48;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;fds;;2;2;2;image_1_kos;image_10_malediven;;;;;;image_2_thailand;image_3_madeira;image_4_griechenland;image_5_fuerteventura;image_6_oesterreich;image_7_lanzarote;image_8_vereinigte_arabische_emirate;image_9_schweden;658;1345,28;;;;;;1324;728,53;782;894;530,18;818,9;637,99;302,36
jrollwage;Acc_MC_lab_test;1.0;1653379643.6758122;2022-05-24_10:07:23;1653379762.3978896;True;False;;;outcome_accountability;test12345678;sid-b51256d89bf245b793f32c5ef6e3da59;;86400;participant registration;2.3.2;exp_data;Desktop;1920x933;Chrome 101;;Windows 10;Other;Windows 10;;true;1920x1080;;3;3;3;3;3;3;3;3;5;3;deleted;34.0;60.10230179028133;49.68573175128137;;;;40.70251053491277;39.261744966442954;116.29845217621377;51.38558515699334;20.13676883624374;0.60790273556231;23.354332490852176;;;2;gdsf;mask3_1;mask6_10;;;;;;mask1_2;mask6_3;mask4_4;mask5_5;mask2_6;mask4_7;mask4_8;mask3_9;2;2;2;2;2;2;2;2;2;2;312.0;654.0;;;;;;321.0;432.0;543.0;654.0;654.0;654.0;654.0;654.0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;45;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;trewtr;;3;3;3;image_1_griechenland;image_10_oesterreich;;;;;;image_2_vereinigte_arabische_emirate;image_3_madeira;image_4_fuerteventura;image_5_schweden;image_6_thailand;image_7_malediven;image_8_lanzarote;image_9_kos;782;530,18;;;;;;637,99;728,53;894;302,36;1324;1345,28;818,9;658
jrollwage;Acc_MC_lab_test;1.0;1653379769.8176117;2022-05-24_10:09:29;1653379876.555683;True;False;;;control;test12345678;sid-d8f43c17b1a14c4fb5e13787aae0e852;;86400;participant registration;2.3.2;exp_data;Desktop;1920x933;Chrome 101;;Windows 10;Other;Windows 10;;true;1920x1080;;4;4;4;4;4;4;4;4;5;5;deleted;54.0;51.38558515699334;10.230189559798495;;;;23.354332490852176;116.29845217621377;16.36828644501279;0.60790273556231;20.13676883624374;50.60422960725075;2.509443721688426;;;2;gdfsg;mask2_1;mask5_10;;;;;;mask3_2;mask3_3;mask2_4;mask4_5;mask5_6;mask1_7;mask6_8;mask6_9;3;3;3;3;3;3;3;3;3;3;654.0;654.0;;;;;;654.0;654.0;654.0;654.0;654.0;654.0;654.0;654.0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;weiblich;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;5;32;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;654d;;3;3;3;image_1_malediven;image_10_vereinigte_arabische_emirate;;;;;;image_2_madeira;image_3_oesterreich;image_4_schweden;image_5_griechenland;image_6_kos;image_7_fuerteventura;image_8_lanzarote;image_9_thailand;1345,28;637,99;;;;;;728,53;530,18;302,36;782;658;894;818,9;1324
jrollwage;Acc_MC_lab_test;1.0;1653379881.3990793;2022-05-24_10:11:21;1653380017.2310805;True;False;;;process_accountability;test12345678;sid-b60bc2d5bcda45329ec87298d5c536cb;;86400;participant registration;2.3.2;exp_data;Desktop;1920x933;Chrome 101;;Windows 10;Other;Windows 10;;true;1920x1080;;4;4;4;4;4;4;4;4;5;3;deleted;54.0;14.429530201342283;16.261398176291795;;;;153.0096573620849;43.80352045670789;42.220543806646525;5.005970927758641;19.90783554601169;44.29061828058396;2.1739130434782608;;;2;fdsa;mask6_1;mask4_10;;;;;;mask1_2;mask1_3;mask6_4;mask6_5;mask3_6;mask3_7;mask5_8;mask4_9;3;3;3;3;3;3;3;3;3;3;765.0;765.0;;;;;;765.0;765.0;756.0;765.0;765.0;765.0;765.0;765.0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;männlich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;38;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;gfdsgf;;3;3;3;image_1_fuerteventura;image_10_griechenland;;;;;;image_2_kos;image_3_schweden;image_4_malediven;image_5_thailand;image_6_lanzarote;image_7_madeira;image_8_vereinigte_arabische_emirate;image_9_oesterreich;894;782;;;;;;658;302,36;1345,28;1324;818,9;728,53;637,99;530,18
jrollwage;Acc_MC_lab_test;1.0;1653380024.5387142;2022-05-24_10:13:44;1653380183.507821;True;False;;;outcome_accountability;test12345678;sid-bc33166542954c60a942bb0bc6715472;;86400;participant registration;2.3.2;exp_data;Desktop;1920x933;Chrome 101;;Windows 10;Other;Windows 10;;true;1920x1080;;4;4;4;4;4;4;4;4;5;2;deleted;45.0;20.13676883624374;2.509443721688426;;;;26.845637583892618;16.36828644501279;0.60790273556231;116.29845217621377;23.354332490852176;50.60422960725075;60.30566127497621;;;2;gds;mask1_1;mask4_10;;;;;;mask6_2;mask2_3;mask3_4;mask6_5;mask6_6;mask2_7;mask5_8;mask2_9;3;3;3;3;3;3;3;3;3;3;654.0;534.0;;;;;;654.0;654.0;654.0;654.0;654.0;654.0;654.0;654.0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;35;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;gfdefdgs;;3;3;3;image_1_lanzarote;image_10_malediven;;;;;;image_2_vereinigte_arabische_emirate;image_3_fuerteventura;image_4_griechenland;image_5_kos;image_6_schweden;image_7_madeira;image_8_oesterreich;image_9_thailand;818,9;1345,28;;;;;;637,99;894;782;658;302,36;728,53;530,18;1324
