Land / Insel;Datum;Tage;Abflughafen;Airline;Hotel;Ort;Sterne;Verpflegung;Zimmer;Zimmertyp;Beschreibung;Preis p.P.;Link;Eintragsdatum;Anmerkung;Bild;Pr?position_Land;Entfernung_Info;Zusatzinfo;Pr?positon_Zimmer;Reiseportal;Pr?position_Verpflegung;Speicher
Malediven;29.07. - 06.08.;8;Frankfurt;Qatar Airways;Summer Island Maldives;Kaafu;4;Halbpension-Verpflegung;Garden Room;Doppelzimmer;Verbringt jetzt mit diesem Deal einen unvergesslichen Traumurlaub auf den Malediven 2021! Ihr kommt im 4 Sterne Hotel Summer Island Maldives unter, das sich auf dem Nord-Mal?-Atoll befindet und direkt am Strand liegt. Da ihr w?hrend eures Urlaubs auf den Malediven eine Halbpension Verpflegung genie?t, k?nnt ihr schlemmen, was das Zeug h?lt. Ich habe mir sagen lassen, dass das Essen im Summer Island Maldives super sein soll. In unmittelbarer Umgebung findet ihr auch das Au?enriff und die Tauchbasis Diverland mit erfahrenen Mitarbeitern, die euch ein abwechslungsreiches Tauch- und Schnorchelprogramm bieten. Wenn ihr euch dieses tolle Angebot sichert, bekommt ihr den Urlaub auf den Malediven mit den Zug zum Flug Tickets, den Transfers und den Fl?gen. Viel Spa? im Paradies!;1345,28;https://www.weg.de/hotel/summer-island-maldives-cid_6162?city=87170&country=MV&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&page=1_10&region=1151&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-asad-photo-maldives-1430677.png;auf den;Das Hotel befindet sich auf dem Nord-Mal?-Atoll und liegt direkt am Strand.;Das Au?enriff und die Tauchbasis Diverland befinden sich in unmittelbarer Umgebung des Hotels. Die erfahrenen Mitarbeiter/innen bieten Ihnen ein abwechslungsreiches Tauch- und Schnorchelprogramm.;der;weg.de;die;malediven
Griechenland;09.07. - 16.07.;7;Frankfurt;Lufthansa;Atrium;Pefkochori;4;All-Inclusive-Verpflegung ;Doppelzimmer Superior;Doppelzimmer;Zieht es euch nach Griechenland? Wie w?re es mit Urlaub in Chalkidiki und einer tollen All Inclusive Verpflegung? Ich habe hier einen top Deal f?r kleines Geld f?r euch! Sichert euch eine Woche im 4 Sterne Hotel Atrium mit All Inclusive, Transfer, Zug zum Flug und Fl?gen. Das Hotel liegt in gr?ner, erh?hter Hanglage am Rande des Dorfes Pefkochori direkt am Pinienwald und ist umgeben von Olivenb?umen. Ihr genie?t hier eine herrliche Aussicht ?ber den Golf von Kassandra. W?hrend eures Aufenthalts wohnt ihr in einem sch?nen Doppelzimmer, hier werdet ihr euch mit Sicherheit auf Anhieb wohlf?hlen. Zum Ortszentrum sind es ca. 500 Meter, den Kies-/Sandstrand erreicht ihr nach ca. 700 Metern. Dreimal t?glich f?hrt ein hoteleigener Shuttlebus zum Strand. Genie?t die sch?ne Zeit in der Sonne und lasst euch die Br?une ins Gesicht treiben. Viel Spa?!;782;https://www.weg.de/hotel/hotel-atrium-cid_4824/angebot_2F2B9L3V6OOL6ZSFOG8WMTXLR3D82UA663C4U4NXN1FO6JP3W22JXUOFPGE6FMVLUDSUP1622BVSAL?city=2094&country=GR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&page=2_10&region=31&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/paleochora.png;in;Das Hotel liegt in gr?ner, erh?hter Hanglage am Rande des Dorfes Pefkochori und direkt am Pinienwald. Zus?tzlich ist es umgeben von Olivenb?umen.  Die Entfernung zum Ortszentrum betr?gt ca. 500 Meter, der Kies-/Sandstrand ist ca. 700 Meter entfernt.;Dreimal t?glich f?hrt ein hoteleigener Shuttlebus zum Strand.;das;weg.de;die;griechenland
Vereinigten Arabischen Emiraten;29.06. - 06.07.;7;Frankfurt;Emirates;Park Regis Kris Kin;Bur Dubai;5;Fr?hst?ck;Doppelzimmer Superior;Doppelzimmer;Ihr habt Lust auf einen richtigen Luxusdeal im kommenden Jahr? Reist nach Dubai und verbringt dort eine tolle Woche im 5 Sterne Hotel Park Regis Kris Kin mit Fr?hst?ck, Transfer und Direktfl?gen. Dieses spektakul?re Luxushotel wird euch garantiert gefallen. Highlight der Anlage ist der Dachterrassenpool, von dem aus ihr beim Schwimmen eine einzigartige Aussicht ?ber ganz Dubai genie?en k?nnt. So ein Pool ist sogar im prunkvollen Dubai etwas ganz Besonderes! Lasst eure ereignisreichen Tage im Wellnessbereich ausklingen oder powert euch im Fitnesscenter des Hotels so richtig aus. Es warten Whirlpool, Dampfbad und eine Sauna auf euch. F?r ein leckeres Abendessen stehen euch insgesamt f?nf unterschiedliche Restaurants, von asiatisch bis zur Sportsbar, zur Auswahl. In diesem Luxushotel werdet ihr garantiert eine tolle Zeit haben. Ich w?nsche euch viel Spa?!;637,99;https://www.weg.de/hotel/park-regis-kris-kin-hotel-cid_16028/angebot_2WY8KLAE3SRKWNYB6UECA6F4M94J6TOBBZG268YZ368OS6BA7NH3R7264B4E7BMB2GEWFOS6N1DZHZ6RJS1K8VHDZ618TL3987V41YHSWBZ3GC8DBDYEJFG79OAXZLCN6U3H9G2VNHB6ZHHA?city=968&country=AE&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&region=160&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-aleksandar-pasaric-325193.png;in den;Das Hotel ist zentral gelegen - direkt gegen?ber der Burjuman Mall, sodass Sie nach ca. 20 Gehminuten das Bastakia-Viertel und das Dubai Museum erreichen k?nnen.;Das Highlight der Anlage ist der Dachterrassenpool, der beim Schwimmen eine einzigartige Aussicht ?ber ganz Dubai bietet. Ein solcher Pool ist sogar im prunkvollen Dubai etwas ganz Besonderes! ;das;weg.de;das;vereinigte_arabische_emirate
Fuerteventura;22.07. - 29.07.;7;Frankfurt;Holiday Europe;LABRANDA Bahia de Lobos;Corralejo;4;All-Inclusive-Verpflegung ;Doppelzimmer Deluxe Poolseite;Doppelzimmer;Sichert euch diesen tollen Deal und verbringt 1 Woche auf Fuerteventura im top 4 Sterne LABRANDA Bahia de Lobos mit der t?glichen All Inclusive Verpflegung, Transfers und Fl?gen. Das Hotel befindet sich circa 800 Meter vom Strand entfernt. Der Hafen von Corralejo ist circa zwei Kilometer entfernt, von wo aus unter anderem F?hren nach Lanzarote ablegen. Neben der sch?nen Lage bietet das familienfreundliche Hotel zwei Pools, zwei Bars und zwei Buffetrestaurants, prinzipiell alles was das Herz begehrt. W?hrend eures Aufenthalts wohnt ihr in einem komfortablen Deluxe Zimmer, hier werdet ihr euch sicherlich sehr wohlf?hlen. Genie?t sch?ne und erholsame Tage auf Fuerteventura!;894;https://www.weg.de/hotel/labranda-bahia-de-lobos-cid_3371/angebot_2KGY6EDM4V8EWOOBO11E88C2T92G3VE369JJUZ2AW8VHAD2SCHD4TD7PRADUSCP9WCD3N1A7ACF64OWBWDVKWBEJ81MRVYAPPFDHRJP87HGDEVRC1NLYWZM8OJDZW17X2M871CVXJ3TWCKEJ?city=663&country=ES&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&region=127&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;;files/spanien.png;auf;Das Hotel befindet sich circa 800 Meter vom Strand entfernt. Die Distanz vom Hotel zum Hafen von Corralejo betr?gt ca. 2km. Aus dem Hafen Corralejo legen unter anderem auch F?hren nach Lanzarote ab.;Neben der sch?nen Lage bietet das familienfreundliche Hotel zwei Pools, zwei Bars und zwei Buffetrestaurants, also prinzipiell alles, was das Herz begehrt. ;das;weg.de;die;fuerteventura
Kos;08.06. - 15.06.;7;Frankfurt;Condor;LABRANDA Marine Aquapark Resort;Tigaki;4;All-Inclusive-Verpflegung ;Doppelzimmer mit seitl. Meerblick;Doppelzimmer;"Sichert euch eine Woche All Inclusive Urlaub auf der griechischen Insel Kos - zum krassen Preis!

Ich habe f?r euch diesen tollen Deal entdeckt, der euch im Fr?hling 2021 f?r eine Woche nach Kos f?hrt. Es geht f?r euch ins top 4 Sterne Hotel LABRANDA Marine Aquapark Resort mit All Inclusive, den Transfers und den Fl?gen. Das Hotel befindet sich direkt am wundervollen Strand. Die Anlage selbst ist sehr gepflegt und bietet euch vier Pools, drei Restaurants und Bars. Dank der leckeren All Inclusive Verpflegung k?nnt ihr euch hier den ganzen Tag lang kulinarisch verw?hnen lassen. Ich w?nsche euch viel Spa? in eurem Urlaub auf Kos!";658;https://www.weg.de/hotel/labranda-marine-aquapark-resort-cid_12773?city=189&country=GR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&oceanView=true&page=1_10&region=45&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/kos.png;auf;Das Hotel befindet sich direkt am wundervollen Strand. Die Anlage selbst ist sehr gepflegt und bietet Ihnen vier Pools, drei Restaurants und Bars. ;Dank der leckeren All-Inclusive-Verpflegung  k?nnen Sie sich hier den ganzen Tag lang kulinarisch verw?hnen lassen.;das;weg.de;die;kos
Lanzarote;25.07. - 01.08.;7;Frankfurt;Ryanair;Riu Paraiso Lanzarote;Las Palmas;4;All-Inclusive-Verpflegung ;Doppelzimmer;Doppelzimmer;Lust auf einen tollen Urlaub auf Lanzarote? Ich habe hier einen super Deal f?r euch. Es geht f?r eine Woche ins top bewertete 4 Sterne Clubhotel RIU Paraiso Lanzarote Resort mit einer All Inclusive Verpflegung, den Transfers vor Ort und den Fl?gen. Euer Hotel liegt direkt am sch?nen Strand Playa de los Pocillos. Euer Hotel bietet euch vier Pools, vier Bars und drei Restaurants. Das Ortszentrum mit zahlreichen Einkaufsm?glichkeiten erreicht ihr nach nur wenigen Gehminuten und auch das Zentrum von Puerto del Carmen ist nur zwei Kilometer entfernt. ;818,9;https://www.weg.de/hotel/hotel-riu-paraiso-lanzarote-cid_16672?city=740&country=ES&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&page=1_10&region=132&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/spain2.png;auf;Ihr Hotel liegt unmittelbar am ?berw?ltigenden Strand Playa de los Pocillos. Das Ortszentrum mit zahlreichen Einkaufsm?glichkeiten k?nnen Sie nach nur wenigen Gehminuten erreichen und auch das Zentrum von Puerto del Carmen ist nur zwei Kilometer entfernt.  ;Ihr Hotel bietet Ihnen vier Pools, vier Bars und drei Restaurants. ;das;weg.de;die;lanzarote
Madeira;21.06. - 28.06;7;Frankfurt;Condor;Monte Mar Palace;Ponta Delgada;4;All-Inclusive-Verpflegung ;Doppelzimmer mit Meerblick;Doppelzimmer;"Ihr m?chtet euch im Januar einen Urlaub auf der Blumeninsel Madeira sichern?

Bucht jetzt eine Woche auf Madeira im 4 Sterne Hotel Monte Mar Palace inklusive All Inclusive, der Fl?ge, der Zugtickets zum Flug, einem Zimmer mit Bergblick und den Transfers zum top Preis. Euer Hotel liegt am Rande der beschaulichen Ortschaft Ponta Delgada, direkt oberhalb des Meeres und beschert euch einen wundersch?nen Panoramablick ?ber die Nordk?ste. Bis zu den nat?rlichen Meeresschwimmbecken aus Lavagestein sind es circa 15 Kilometer und bis nach Funchal circa 40 Kilometer. Lust bekommen? Ich w?nsche euch viel Spa?!";728,53;https://www.weg.de/hotel/monte-mar-palace-cid_16283?city=1717&country=PT&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=5&oceanView=true&page=1_10&region=112&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-hristo-ivanov-4084782.png;auf;Ihr Hotel liegt am Rande der beschaulichen Ortschaft Ponta Delgada, direkt oberhalb des Meeres und beschert Ihnen einen wundersch?nen Panoramablick ?ber die Nordk?ste. ;Bis zu den nat?rlichen Meeresschwimmbecken aus Lavagestein sind es circa 15 Kilometer und bis nach Funchal sind es circa 40 Kilometer. ;das;weg.de;die;madeira
Thailand;02.08. - 17.08;15;Frankfurt;Qatar Airways;The Waters Khao Lak;Khao Lak;4;Fr?hst?ck;Doppelzimmer mit Pool Access;Doppelzimmer;"WOW - Da kam gerade dieser MEGA-Urlaubsdeal im Wasser-Resort angeflogen. Perfekt f?r euren Traumurlaub 2021!

Ihr solltet euch unbedingt die Bilder anschauen! Das zentrale Thema eurer Unterkunft ist Wasser, was sich in vielen Aspekten des Hotels widerspiegelt. 3.000 Quadratmeter Poolfl?che sprechen da f?r sich! Die weitl?ufige Poolanlage und auch der hoteleigene Wellnessbereich sind durch und durch von Wasser gepr?gt. Auch architektonisch ist euer Hotel modern und luxuri?s gestaltet.

Gelegen an der thail?ndischen Westk?ste und auch nur acht Minuten fu?l?ufig vom Palmenstrand und von zahlreichen Einkaufs- und Unterhaltungsangeboten entfernt, ist dieses Resort der perfekte Ort, um einfach mal komplett abzuschalten! Ihr verbringt zwei Wochen im 4 Sterne Hotel The Waters Khao Lak by Katathani inklusive Fr?hst?ck, den Zug zum Flug Tickets, den Transfers vor Ort und Fl?gen! Lust bekommen? Dann sichert euch euren Traumurlaub 2021! Viel Spa?!";1324;https://www.weg.de/hotel/the-waters-khao-lak-cid_17504/angebot_2OYP3KJT2ZYHJZS2VE1SGTGEOTRMUPNTWF9R6XVERR7XG1MY82RG1L7MAN1YO2U8O1BUUEKD33L163?city=7555&country=TH&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=14&from=2021-06-21&mealType=2&page=2_10&region=934&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/thailand.png;in;Gelegen an der thail?ndischen Westk?ste, sind der Palmenstrand und zahlreiche Einkaufs- und Unterhaltungsm?glichkeiten nach 8 Gehminuten zu erreichen.;Das zentrale Thema des luxuri?sen, modernen Hotels ist Wasser, was sich z.B. in der weitl?ufigen Poolanlage und dem hoteleigenen Wellnessbereich widerspiegelt. 3.000 Quadratmeter Poolfl?che sprechen da f?r sich! ;das;weg.de;das;thailand
?sterreich;24.06. - 26.06.;2;Frankfurt;Lufthansa;Grand Hotel Zell Am See;Zell am See;4;Fr?hst?ck;Doppelzimmer Komfort;Doppelzimmer;;530,18;https://www.weg.de/hotel/grand-hotel-zell-am-see-cid_3625/angebot_2TL76GOWZW41SJDUVEHJPLECSWYAMD7JAEWLFAKJAEOV84K4YHPR8B8O7KBZX6GZR2K9DXZH22CGHUZB2G8B97V6MR2OYWMY4C79E2S1?country=AT&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&from=2021-06-21&mealType=2&region=492&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;Auf einer privaten Halbinsel direkt am idyllischen Zeller See gelegen erwarten Sie im Grand Hotel Zell Am See neben alt?sterreichischer Gastgebertradition und alpiner Gem?tlichkeit, ein Hauch von kaiserlichem Luxus und Romantik, eine Prise Nostalgie und unkomplizierter 4-Sterne-Superior-Komfort.Freuen Sie sich auf ein gro?z?giges Spa- und Wellnessangebot im GRANDSPA, hoch oben im Wellnessfl?gel mit fantastischen Aussichten und dem familienfreundlichen Classic Spa mit Pool und direktem Seezugang. Wohnen und tr?umen Sie in den traditionell und liebevoll eingerichteten Zimmern und Suiten. Genie?en Sie die besondere Lage des Hauses direkt am blau schimmernden Zeller See!;files/pexels-johannes-plenio-4124074.png;in;Direkt am idyllischen Zeller See gelegen erwarten Sie im Hotel alt?sterreichische Gastgebertradition, alpine Gem?tlichkeit und ein Hauch von kaiserlichem Luxus. ;Freuen Sie sich auf ein gro?z?giges Spa- und Wellnessangebot mit fantastischen Aussichten. Wohnen und tr?umen Sie in den traditionell und liebevoll eingerichteten Zimmern und Suiten. ;das;weg.de;das;oesterreich
Schweden;12.07. - 14.07.;2;Frankfurt;SAS Scandinavian Airlines;Elite Hotel Marina Tower;Stockholm;4;Fr?hst?ck;Doppelzimmer;Doppelzimmer;;302,36;https://www.weg.de/hotel/elite-hotel-marina-tower-cid_15531/angebot_2WNVYCSP7MFVENX7PPFJX4YPL7MGESY44HM7PVUKGWL12DHA1BNXURJ7SUCRTYCBJE3TMHE83BOFGX2VCNOBW78SEEPRSLFTYHP837DWCA3JMBM2MHANBKEG4ZZUUSP14C8K1BJFNH4TJRZJ?city=2814&country=SE&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&from=2021-06-21&page=1_10&region=1306&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;10.03.21;, Trendsetter f?r Musik, Mode sowie Design und Heimat international bedeutender Innovationen;files/pexels-pixabay-39378.png;in;Das Hotel befindet sich in einer historischen M?hle am Wasser und ist direkt am Fluss Saltsj?n gelegen. Es ist nur ca. 15 Gehminuten vom Stadtzentrum entfernt.;Stockholm ist als weltweit zweitwichtigster Tech- und Startup-Hub eine Stadt der Andersdenkenden, immer begierig auf Neues.;das;weg.de;das;schweden
Kreta;06.07. - 13.07.;7;Frankfurt;TUIfly;Laguna Resort & Spa;Anissaras;5;All-Inclusive-Verpflegung ;Doppelzimmer Economy;Doppelzimmer;Ein Luxusurlaub muss nicht immer ein Verm?gen kosten - das beweist dieser Fr?hbucher-Deal, welcher euch in ein fantastisches Spa Hotel auf Kreta f?hrt! Ihr habt eure Koffer quasi schon gepackt und wartet nur auf das ideale Angebot? Dann empfehle ich euch diesen Deal! Ihr verbringt eine Woche im top 5 Sterne Mitsis Laguna Resort & Spa mit einer tollen All Inclusive Verpflegung, den Transfers vor Ort, Zugtickets zum Flug und den Fl?gen. Euer Hotel befindet sich auf einem riesigen Anwesen und in ruhiger Lage, damit ihr sch?n entspannen k?nnt. Vier Pools, ein Indoorpool f?r k?ltere Tage, sechs (!) Restaurants und drei Bars befinden sich auf dem Hotelgel?nde - das bedeutet jede Menge M?glichkeiten, sich die Zeit auf die beste Art und Weise zu vertreiben. Ein umfassendes Sportangebot (Fu?ball, Tennis, Tretboot, Windsurfen und mehr) und einige Shows sorgen zus?tzlich f?r massig Unterhaltung. Vom Strand seid ihr auch nur durch eine kleine Stra?e getrennt. Bis ins Ortszentrum sind es ungef?hr drei Kilometer, aber eine Bushaltestelle befindet sich direkt vor der T?r. Viel Spa?!;1235,25;https://www.weg.de/hotel/laguna-resort-spa-cid_15821/angebot_224UUU36PWXDAJUSO2PGUJHRHWZCP8MDPB6UOJFVZK39N7HA32GKLXADSGBKZTCGLXNC9MKGF71RF1RLC9D76F3J2MN7BD1ODLNSLOHS?city=198&country=GR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=2&region=46&returnFlightTimeUntil=1440&to=2021-09-13&travellers=25%2C25;15.03.21;;files/kreta.png;auf;Ihr Hotel befindet sich auf einem riesigen Anwesen in ruhiger Lage. Lediglich eine kleine Stra?e trennt das Hotel vom Strand. Das Ortszentrum ist ca. 3km entfernt, allerdings befindet sich eine Bushaltestelle direkt vor der T?r.;Die Hotelanlage umfasst vier Pools, sechs Restaurants und drei Bars. Au?erdem sorgen ein umfassendes Sportangebot und einige Shows f?r beste Unterhaltung.;das;weg.de;die;kreta
T?rkei;28.08. - 04.09.;7;Frankfurt;SunExpress;LABRANDA Excelsior Side;Sorgun (Side);4;All-Inclusive-Verpflegung ;Doppelzimmer;Doppelzimmer;Wie w?re es mit einem Traumurlaub in Side zum absoluten Sparpreis? Hier k?nnt ihr euch aktuell diesen g?nstigen Deal sichern, mit dem ihr eine Woche im fantastischen 4 Sterne LABRANDA Excelsior Hotel Side verbringen werdet - und die All Inclusive Verpflegung ist auch dabei! Freut euch auf eine gro?z?gig gestaltete Ferienanlage mit einer vielf?ltigen Auswahl an Sport- und Freizeitaktivit?ten und einer traumhaften Poollandschaften. Das Hotel befindet sich nur circa 450 Meter vom hoteleigenen Strand entfernt. Lasst euch im hoteleigen Wellnessbereich mit Sauna und Hamam und vielen weiteren Wellnessangeboten wie Massagen sch?n verw?hnen. Damit keine Langweile aufkommt, erwartet euch au?erdem dezente Tagesanimation sowie Abendunterhaltung. Wer Lust auf einen luxuri?sen All Inclusive Urlaub in einem fantastischen Hotel f?r kleines Geld hat, sollte hier zuschlagen!;560;https://www.weg.de/hotel/labranda-excelsior-side-cid_1059?city=8954&country=TR&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=2&page=1_10&region=149&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-engin-akyurt-2767815.png;in der;Das Hotel befindet sich nur circa 450 Meter vom hoteleigenen Strand entfernt.;Sie k?nnen sich auf eine gro?z?gig gestaltete Ferienanlage mit einer vielf?ltigen Auswahl an Sport- und Freizeitaktivit?ten und einer traumhaften Poollandschaft freuen. Lassen Sie sich  im hoteleigenen Wellnessbereich mit Sauna, Hamam und vielen weiteren Wellnessangeboten wie Massagen sch?n verw?hnen. Damit keine Langweile aufkommt, erwartet Sie au?erdem dezente Tagesanimation sowie Abendunterhaltung. ;das;weg.de;die;tuerkei
Ibiza;07.07. - 14.07.;7;Frankfurt;Lufthansa;Ol? Gale?n Ibiza;Port de Sant Miquel;4;Halbpension-Verpflegung;Doppelzimmer mit Meerblick;Doppelzimmer;Ihr sucht nach einem Urlaubsziel f?r die n?chste Urlaubssaison? Wie w?re es mit Ibiza? Aktuell k?nnt ihr euch n?mlich diesen tollen Deal sichern: Verbringt eine Woche im top bewerteten 4 Sterne Hotel Ole Galeon Ibiza mit einer reichhaltigen Halbpension, den Transfers auf der Insel und den Fl?gen. Euer tolles Hotel liegt direkt am Meer, von hier aus habt ihr einen wunderbaren Ausblick auf die Bucht von San Miguel. Den feinsandigen Strand erreicht ihr von eurem Hotel aus nach nur etwa 200 Metern. Abends k?nnt ihr in der hoteleigenen Lounge entspannen und den beeindruckenden Meerblick genie?en. Restaurants, Bars und Einkaufsm?glichkeiten findet ihr auch in eurer n?heren Umgebung. Lust bekommen? Sichert euch diesen Deal und g?nnt euch einen traumhaften Urlaub auf Ibiza!;736;https://www.weg.de/hotel/ol%C3%A9-gale%C3%B3n-ibiza-cid_8628?city=714&country=ES&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=2&page=1_10&region=129&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-domenico-bandiera-5096813.png;auf;Ihr Hotel liegt direkt am Meer, sodass Sie einen wunderbaren Ausblick auf die Bucht von San Miguel haben. Den feinsandigen Strand erreichen Sie von Ihrem Hotel aus nach nur etwa 200 Metern.;Abends k?nnen Sie in der hoteleigenen Lounge entspannen und den beeindruckenden Meerblick genie?en. Restaurants, Bars und Einkaufsm?glichkeiten befinden sich ebenfalls in Ihrer n?heren Umgebung.;das;weg.de;die;ibiza
?gypten;09.07. - 16.07.;7;Frankfurt;TUIfly;Gravity Sahl Hasheesh Ocean Breeze;Hurghada;5;All-Inclusive-Plus-Verpflegung ;Suite;Suite;Luxus, Sonne und All Inclusive Plus! Ihr wohnt f?r eine Woche im neuen 5 Sterne Hotel Gravity Sahl Hasheesh mit einer umfangreichen All Inclusive Verpflegung Plus, den Transfers vor Ort und den Fl?gen zum top Preis! Das exquisite Luxushotel wurde erst 2019 neu er?ffnet und empf?ngt euch direkt am sch?nen Strand. Hier k?nnt ihr wunderbar vom Alltag abschalten und es euch mal so richtig gut gehen lassen. Gleich f?nf Restaurants sorgen daf?r, dass ihr kulinarisch verw?hnt werdet. Dank des breiten Sportprogramms k?nnt ihr euch fit halten und den Tag aktiv gestalten. Wer lieber entspannt, der wird sich mit einem k?hlen Drink in der Hand am sch?nen Au?enpool wohlf?hlen. Lust bekommen? Sichert euch jetzt Luxus in ?gypten!;1047;https://www.weg.de/hotel/gravity-sahl-hasheesh-ocean-breeze-cid_145475/angebot_23FDR8PPUH6F61PFRHM8BKA1Y3A3LWR92ZNX468EXALMXDBSTSTBLEOOAN3JARECY66U8EKGGBHXFN?city=24053&country=EG&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=2&page=2_10&region=1031&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-tima-miroshnichenko-6010458.png;in;Das exquisite Luxushotel wurde erst 2019 neu er?ffnet und liegt direkt am sch?nen hoteleigenen Strand.;Gleich f?nf Restaurants sorgen daf?r, dass Sie kulinarisch verw?hnt werden. Dank des breiten Sportprogramms k?nnen Sie sich  fit halten und den Tag aktiv gestalten. Wer lieber entspannt, der wird sich mit einem k?hlen Drink in der Hand am sch?nen Au?enpool wohlf?hlen.;die;weg.de;die;aegypten
Italien;29.07. - 05.08.;7;Frankfurt;Lufthansa;Ferdinando II;Neapel;4;Fr?hst?ck;Doppelzimmer;Doppelzimmer;;498;https://www.weg.de/hotel/ferdinando-ii-cid_17572/angebot_26TRPH7X2RK8GTLJVSLMXR4M6OEW2EA1YL9YH33FNC3D2EWZJRFYLUE6CU7LP69MJ7SB6BXRVCH4KU?city=1174&country=IT&cview=urlaub&departureAirport=FRA&departureFlightTimeUntil=1440&duration=7&from=2021-06-21&mealType=2&page=3_10&region=1036&returnFlightTimeUntil=1440&sort=PRICE&to=2021-09-13&travellers=25%2C25;15.03.21;;files/pexels-bea-2972658.png;in;Das Hotel bietet den perfekten Ausgangspunkt, um Neapel kennenzulernen. Die Sehensw?rdigkeiten Underground Naples (1,4 km), Cappella Sansevero (1,7 km) und Via San Gregorio Armeno (1,5 km) befinden sich in Laufweite des Hotels.;Nicht nur die N?he zu beliebten Sehensw?rdigkeiten wie Teatro di San Carlo (3,2 km) und Palazzo Reale (3,2 km) sprechen f?r das Hotel, sondern auch die hervorragenden nahegelegenen Restaurants, die fantastische Gerichte anbieten.;das;weg.de;das;italien_neapel
